,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity
0,-12.0,96.87,175,2163000.0,0.0,5.49,301,4500900.0,32.0,81.2,324,20000.0,0.0,145.0,115,80.0,19.0,6.54,236,240000.0,-9.0,18.1,239,40.0,51.0,1250.0,562,1600.0,-12.0,131.8,172,48000.0,-5.0,150.0,228,500.0,0.0,2.79,309,557103.0,0.0,7.77,187,4277000.0,-8.0,0.36,74,105840.0,5.0,518.58,477,58032.0,3.0,30.82,241,770.0,7.0,1144.02,188,1.0,3.0,32.0,182,5862000.0,-2.0,110.0,59,144000.0,-12.0,248.5,190,340.0,0.0,149.0,127,2538.0,0.0,4.5,201,3567780.0,0.0,280.0,71,387072.0,0.0,3.85,145,2997780.0,-3.0,6.54,473,621450.0,0.0,5.75,132,503640.0,-39.0,10.15,203,11007000.0,-65.0,10.15,204,9000000.0,0.0,6.54,170,1120000.0,6.0,12.49,323,26550.0,273.0,6.72,588,3500.0,0.0,55.0,112,103680.0
1,0.0,15.61,267,11910.0,0.0,57.2,124,2.0,0.0,290.0,53,15.0,66.0,2.93,243,16.0,0.0,0.01,74,4.0,-13.0,29.99,525,17760.0,29.0,1.75,594,97018.0,0.0,2.14,350,200000.0,0.0,135.0,135,3300.0,-14.0,42.22,157,450.0,3.0,6.54,107,587500.0,52.0,75.0,454,140.0,0.0,1.99,191,382250.0,-14.0,8.5,386,36144.0,0.0,60.0,182,50.0,-8.0,20.5,488,1400.0,0.0,1.76,358,156900.0,39.0,1.45,224,500000.0,30.0,12.49,441,58050.0,0.0,17.25,121,3671160.0,-2.0,0.88,165,1238000.0,-6.0,55.0,151,85536.0,10.0,15.61,249,42900.0,-2.0,1.96,283,500000.0,0.0,0.79,262,596160.0,0.0,93.01,64,2000.0,-2.0,903.77,187,44520.0,0.0,33.33,264,120.0,102.0,5.56,175,2708640.0,0.0,110.0,243,20000.0
2,0.0,1.46,502,12500.0,-12.0,6.5,267,134040.0,-8.0,30.0,120,4335.0,51.0,108.0,282,10.0,0.0,3.19,509,138817.0,-10.0,180.0,188,12.0,-16.0,0.36,343,241920.0,-13.0,280.0,128,4608.0,-31.0,0.36,152,2900016.0,3.0,3.15,268,185160.0,70.0,23.9,248,151.0,97.0,177.5,279,1.0,0.0,30.0,249,450.0,0.0,6.86,164,2000.0,0.0,0.85,235,72800.0,15.0,110.0,159,72000.0,-6.0,4.75,155,4200.0,-7.0,326.2,325,5000.0,0.0,1.8,185,1855920.0,0.0,95.0,273,480.0,63.0,12.6,141,44000.0,0.0,55.0,98,2160.0,0.0,518.58,197,23808.0,-142.0,18.38,219,51000.0,-7.0,2.95,133,10020.0,4.0,7.54,263,237700.0,0.0,100.0,78,7200.0,0.0,52.0,294,850.0,-8.0,50.0,245,30.0,0.0,675.0,106,2.0
3,0.0,50.0,193,30.0,7.0,137.0,148,224.0,6.0,130.0,142,440.0,0.0,0.36,408,53150100.0,-14.0,145.0,183,380.0,0.0,24.24,344,15000000.0,126.0,5.6,305,61000.0,0.0,10.15,155,9694080.0,0.0,44.0,220,3150.0,-2.0,23.87,165,17.0,4.0,58.88,245,690.0,-9.0,39.43,175,250.0,0.0,40.91,296,120000.0,24.0,5.56,264,421290.0,-7.0,1.35,398,452.0,29.0,1.9,256,180000.0,0.0,7.54,500,192125.0,-8.0,14.17,118,1218.0,0.0,60.0,191,24.0,0.0,180.0,355,8.0,53.0,6.1,134,2400000.0,0.0,675.0,191,2.0,0.0,2.7,107,1380420.0,0.0,0.36,312,1425000.0,-38.0,1.9,12,3372000.0,-10.0,81.8,239,1.0,16.0,44.0,246,16200.0,-6.0,1.51,89,26242560.0,-12.0,250.0,239,250.0,-14.0,518.58,205,48000.0
4,0.0,180.0,234,2.0,0.0,145.0,176,12.0,0.0,800.0,360,57600.0,3.0,248.5,114,42.0,0.0,20.2,180,3280500.0,-2.0,6.54,190,886650.0,-10.0,52.0,464,17280.0,0.0,2.5,65,9900.0,0.0,15.61,241,30300.0,-3.0,50.0,91,16800.0,0.0,549.76,230,1.0,0.0,10.15,413,4373190.0,0.0,0.36,685,843120.0,0.0,280.0,253,11520.0,7.0,4.7,406,1383000.0,0.0,7.57,294,30000.0,0.0,150.0,453,2.0,49.0,249.77,50,3.0,37.0,280.0,169,433152.0,1.0,75.0,23,500000.0,11.0,8.5,156,2000.0,5.0,85.3,641,7872.0,62.0,0.03,146,5001000.0,6.0,15.02,25,144.0,76.0,127.4,756,1839000.0,0.0,15.61,366,22890.0,-14.0,31072.45,-24,1.0,-10.0,0.85,18,250000.0,22.0,83.85,87,500.0,0.0,79.0,105,399.0
5,109.0,32.4,202,64.0,3.0,8.29,36,3000.0,2.0,204.0,157,199680.0,60.0,1.9,324,168000.0,0.0,19.12,366,40950.0,-8.0,109.4,272,12600.0,0.0,9.65,435,9980.0,23.0,125.0,119,10.0,25.0,35.94,470,18750.0,29.0,50.08,63,1.0,9.0,139.0,406,250.0,-7.0,14.41,318,525.0,-5.0,21.5,416,4.0,0.0,34.0,368,4000.0,0.0,19.12,106,90570.0,0.0,473.45,46,25.0,0.0,0.36,327,886000.0,0.0,16.11,325,1000000.0,7.0,1.45,294,4079200.0,-8.0,5600.0,72,10.0,82.0,1.3,280,2900000.0,-4.0,4.15,115,16620.0,0.0,127.4,259,3024000.0,-12.0,199.14,172,630.0,0.0,2.79,370,335760.0,-24.0,0.67,322,100.0,63.0,50.0,421,7000.0,1.0,47.0,55,50.0,0.0,8.0,142,100.0,0.0,290.0,296,41.0
6,1.428571429,19.12,312,1000020.0,0.0,5.25,385,2000.0,104.0,0.76,342,1250001.0,0.0,7.2,413,35.0,80.0,0.3,215,1000080.0,-14.0,18.0,257,1200.0,0.0,47.0,62,10.0,27.0,79.8,183,316500.0,0.0,79.0,253,16.0,16.0,4.38,381,1824000.0,0.0,12.9,255,200000.0,106.0,1.63,266,54960.0,25.0,4.2,260,75.0,103.0,7.01,426,13500.0,0.0,280.0,203,1651968.0,-2.0,6.175,152,3900.0,-7.0,1.12,264,6060.0,0.0,180.0,206,12.0,-10.0,11.61,162,668500.0,-5.0,7.54,511,66525.0,0.0,260.0,132,46.0,1.0,0.72,401,12000000.0,1.0,52.0,296,40.0,-5.666666667,5.49,458,4835700.0,-13.0,8.5,73,35064.0,0.0,198.0,237,529.0,0.0,3.99,180,2000.0,2.0,5.49,154,2579550.0,1.0,12.49,167,142380.0,-2.0,11.54,219,23000.0
7,0.0,7.4,372,7800.0,2.0,0.76,223,33000.0,-35.0,20.2,129,17440920.0,0.0,9.0,330,4808160.0,67.0,2.62,203,33000.0,-62.0,0.6,36,64500.0,0.0,6.43,300,226800.0,0.0,2785.0,212,3.0,39.0,47.0,84,200.0,0.0,518.58,127,66144.0,0.0,4846.21,260,1.0,0.0,4.74,373,1500000.0,24.0,12.01,496,15000.0,19.0,3397.985,230,1.0,0.0,75.0,75,900.0,73.0,8.5,325,11900.0,86.0,466.81,277,1680.0,-19.0,69.0,254,510000.0,-70.0,0.85,29,250000.0,13.0,9.0,165,526680.0,-10.0,180.0,188,70.0,0.0,581.76,302,400.0,0.0,19.12,492,27000.0,-3.0,55.08,207,1600.0,0.0,52.0,112,15840.0,-1.0,12.48,121,37000.0,0.0,3.99,71,24000.0,0.0,13.21,178,132000.0,40.0,3009.58,-181,25000000.0,50.0,38.78,272,270.0
8,0.0,1066.45,197,21.0,0.0,2.07,182,80000.0,0.0,168.19,45,810.0,0.0,473.45,77,100.0,-50.0,3.85,162,3326400.0,0.0,5.25,409,2000.0,0.0,11.92,675,375000.0,41.0,47.21,407,27600.0,0.0,3.8,231,7500000.0,-11.0,30.5,125,19280.0,0.0,950.0,204,80640.0,0.0,125.0,289,9.0,-1.0,78.0,443,88.0,0.0,6.0,232,720000.0,0.0,2.2,211,120000.0,0.0,2.07,293,399000.0,-7.0,45.02,406,182000.0,0.0,17.95,168,1413240.0,0.0,3.9,587,200000.0,0.0,466.81,169,3264.0,-7.0,521.04,401,4.0,-1.0,239.86,253,1200.0,0.0,130.0,184,2400.0,-3.0,13.98,267,5781000.0,2.0,348.15,137,100.0,17.0,1.4,276,2194000.0,0.0,125.0,253,8.0,-13.0,44.0,128,2070.0,0.0,15.61,173,40230.0,6.0,8.5,386,1152.0
9,-3.0,37.08,152,250.0,-13.0,248.5,44,14.0,26.0,5.17,207,584000.0,0.0,442.88,367,1.0,-1.0,3.47,331,12100.0,0.0,140.0,283,45.0,-11.0,239.86,318,1200.0,27.0,1.79,371,300000.0,0.0,110.0,129,84000.0,8.0,35.22,91,702.0,511.8,1.88,353,1600000.0,0.0,10.5,283,50200.0,0.0,104.0,336,740.0,37.0,98.18,313,2.0,0.0,96.87,161,2289000.0,0.0,518.58,300,8784.0,-7.0,2.32,402,28000.0,-310.0,7.54,6,69400.0,7.0,899.94,306,720.0,58.0,3.96,334,29.0,49.0,296.28,287,6.0,0.0,6.58,206,168000.0,-12.0,76.67,115,25.0,0.0,19.12,324,141810.0,0.0,8.03,323,415.0,123.0,3.47,273,8800.0,1.0,37.08,206,212.0,9.0,15.0,407,1.0,-4.0,262.99,217,555.0,7.0,96.87,131,2550000.0
